Type,Bill #,PA #,PA Year,Subject,Date of Last History Action,Last History Action,Primary Sponsor
Senate Bill,0025,59,2025,"Occupations: vehicles, dealers, and repair facilities; owner of a motor vehicle repair facility to operate an additional facility under the same registration; allow. Amends secs. 2, 9, 10b, 13b, 14, 15, 16, 17, 18, 22, 30, 32, 32a, 33 &amp; 40 of 1974 PA 300 (MCL 257.1302 et seq.) &amp; adds sec. 30a. ",12/23/25,ASSIGNED PA 0059'25 WITH IMMEDIATE EFFECT,John Cherry
Senate Bill,0070,10,2025,"Highways: memorial; portion of M-34; designate as the ""Deputy Sheriff William Butler, Jr. Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 115.",9/3/25,ASSIGNED PA 0010'25,Joseph N. Bellino Jr.
Senate Bill,0093,42,2025,Food: processors; maple syrup and honey producers; designate as limited food processors. Amends sec. 4105 of 2000 PA 92 (MCL 289.4105). ,12/23/25,ASSIGNED PA 0042'25,Sam Singh
Senate Bill,0096,60,2025,"Construction: other; installation of temporary locking devices or systems in child care centers; allow. Amends sec. 28 of 1972 PA 230 (MCL 125.1528) & adds sec. 4i.   TIE BAR WITH: SB 0097'25, SB 0098'25",12/23/25,ASSIGNED PA 0060'25,Jeremy Moss
Senate Bill,0097,61,2025,"Construction: other; exclusion of temporary locking devices or systems installed in child care centers; update under the fire prevention code. Amends sec. 22 of 1941 PA 207 (MCL 29.22).   TIE BAR WITH: SB 0096'25, SB 0098'25",12/23/25,ASSIGNED PA 0061'25,Roger Hauck
Senate Bill,0098,62,2025,"Construction: other; installation of temporary locking devices or systems in child care centers; allow. Amends 1973 PA 116 (MCL 722.111 - 722.128) by adding sec. 3m.   TIE BAR WITH: SB 0096'25, SB 0097'25",12/23/25,ASSIGNED PA 0062'25,Mallory McMorrow
Senate Bill,0099,3,2025,"Public employees and officers: ethics; reporting requirements and definition of gift; modify and provide standard report form. Amends secs. 3, 5, 7, 11, 13 &amp; 15 of 2023 PA 281 (MCL 15.703 et seq.) &amp; adds sec. 6.",5/15/25,ASSIGNED PA 003'25 WITH IMMEDIATE EFFECT,Jeremy Moss
Senate Bill,0100,4,2025,"Campaign finance: statements and reports; definition of gift; modify. Amends secs. 3, 5, 7, 11, 13 &amp; 15 of 2023 PA 282 (MCL 169.303 et seq.) &amp; adds sec. 6.",5/15/25,ASSIGNED PA 0004'25 WITH IMMEDIATE EFFECT,Edward W. McBroom
Senate Bill,0136,63,2025,"Health: testing; notification of dense breast tissue; eliminate, and provide for other general amendments to the use of radiation machines. Amends secs. 13501, 13521, 13522 &amp; 13523 of 1978 PA 368 (MCL 333.13501 et seq.) &amp; repeals secs. 13524 &amp; 13531 of 1978 PA 368 (MCL 333.13524 &amp; 333.13531). ",12/23/25,ASSIGNED PA 0063'25,Sarah Anthony
Senate Bill,0158,50,2025,Consumer protection: other; certain uses of automated programs to purchase event tickets online; prohibit. Creates new act.   TIE BAR WITH: HB 4262'25,12/23/25,ASSIGNED PA 0050'25,Mary Cavanagh
Senate Bill,0166,15,2025,"Appropriations: school aid; fiscal year 2025-2026 appropriations for K-12 school aid; provide for. Amends, adds &amp; repeals (See bill).",10/3/25,"FOR FINAL DISPOSITION OF BUDGET, SEE HB 4706",Darrin Camilleri
Senate Bill,0269,64,2025,Aeronautics: airport authority; airport authority; exempt from certain funding restrictions. Amends sec. 135 of 1945 PA 327 (MCL 259.135). ,12/23/25,ASSIGNED PA 0064'25 WITH IMMEDIATE EFFECT,Darrin Camilleri
Senate Bill,0273,26,2025,Agriculture: other; water quality protection fee; extend sunset. Amends sec. 8715 of 1994 PA 451 (MCL 324.8715) &amp; repeals (See bill). ,10/8/25,ASSIGNED PA 0026'25 WITH IMMEDIATE EFFECT,Kevin Daley
Senate Bill,0274,8,2026,"Highways: memorial; portion of US-131; designate as the ""Master Sergeant Gregory T. Kuhse Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 111. ",4/29/26,ASSIGNED PA 0008'26 WITH IMMEDIATE EFFECT,Sean McCann
Senate Bill,0349,57,2025,Education: examinations; opt-out option for the workforce readiness assessment portion of the Michigan merit examination; provide for. Amends sec. 1279g of 1976 PA 451 (MCL 380.1279g). ,12/23/25,ASSIGNED PA 0057'25,Dayna Polehanki
Senate Bill,0370,36,2025,"Military affairs: other; Tricare premium reimbursement program; create. Creates new act.   TIE BAR WITH: SB 0540'25, SB 0542'25, HB 4962'25",12/10/25,ASSIGNED PA 0036'25 WITH IMMEDIATE EFFECT,Sam Singh
Senate Bill,0495,1,2026,Education: safety; emergency operations plan requirements; modify. Amends sec. 1308b of 1976 PA 451 (MCL 380.1308b).   TIE BAR WITH: HB 4141'25,2/11/26,ASSIGNED PA 0001'26 WITH IMMEDIATE EFFECT,Dayna Polehanki
Senate Bill,0512,65,2025,"Liquor: distribution; general amendments; provide for. Amends secs. 303, 526, 607, 609b, 903b &amp; 1025 of 1998 PA 58 (MCL 436.1303 et seq.) &amp; adds secs. 412, 609k &amp; 804.   TIE BAR WITH: SB 0513'25",12/23/25,ASSIGNED PA 0065'25 WITH IMMEDIATE EFFECT,Sam Singh
Senate Bill,0513,66,2025,Liquor: other; definition of brand; modify. Amends sec. 105 of 1998 PA 58 (MCL 436.1105) &amp;  adds sec. 604.   TIE BAR WITH: SB 0512'25,12/23/25,ASSIGNED PA 0066'25 WITH IMMEDIATE EFFECT,Roger Hauck
Senate Bill,0540,37,2025,"Military affairs: other; child care reimbursement for Michigan National Guard members; provide for. Creates new act.   TIE BAR WITH: SB 0542'25, HB 4962'25",12/10/25,ASSIGNED PA 0037'25 WITH IMMEDIATE EFFECT,Kevin Hertel
Senate Bill,0542,38,2025,"Military affairs: other; tuition assistance for Michigan National Guard members; modify. Amends secs. 3 &amp; 4 of 2014 PA 259 (MCL 32.433 &amp; 32.434).    TIE BAR WITH: SB 0540'25, HB 4962'25",12/10/25,ASSIGNED PA 0038'25 WITH IMMEDIATE EFFECT,Veronica Klinefelt
Senate Bill,0565,27,2025,Property tax: exemptions; fund from which municipalities are reimbursed for certain revenue lost due to the small business property tax exemption; modify to require that unused funds lapse to the general fund. Amends sec. 3a of 2000 PA 489 (MCL 12.253a). ,10/8/25,ASSIGNED PA 0027'25 WITH IMMEDIATE EFFECT,Sarah Anthony
Senate Bill,0574,28,2025,State management: funds; money in the 21st century jobs trust fund; modify disbursement of. Amends sec. 7 of 2000 PA 489 (MCL 12.257). ,10/8/25,ASSIGNED PA 0028'25 WITH IMMEDIATE EFFECT,Sam Singh
Senate Bill,0577,29,2025,Water supply: other; fees related to water resources; modify. Amends sec. 9 of 1976 PA 399 (MCL 325.1009). ,10/8/25,ASSIGNED PA 0029'25 WITH IMMEDIATE EFFECT,Sam Singh
Senate Bill,0578,16,2025,"Highways: bridges; movable bridge fund; modify and create neighborhood roads fund. Amends sec. 11g of 1951 PA 51 (MCL 247.661g) & adds sec. 13c.    TIE BAR WITH: HB 4180'25, HB 4181'25, HB 4182'25, HB 4183'25, HB 4951'25, HB 4961'25, HB 4968'25",10/8/25,ASSIGNED PA 0016'25 WITH IMMEDIATE EFFECT,Veronica Klinefelt
Senate Bill,0579,30,2025,"Natural resources: other; certain fees in the natural resources and environmental protection act; modify. Amends secs. 3104, 3110, 3118, 3120, 4104, 11153, 30104, 30109, 32312 & 32513 of 1994 PA 451 (MCL 324.3104 et seq.).",10/8/25,ASSIGNED PA 0030'25 WITH IMMEDIATE EFFECT,Sam Singh
Senate Bill,0581,5,2026,Economic development: downtown development authorities; definition of downtown district; modify. Amends sec. 201 of 2018 PA 57 (MCL 125.4201).   TIE BAR WITH: HB 5455'26,4/14/26,ASSIGNED PA 0005'26 WITH IMMEDIATE EFFECT,Kevin Hertel
Senate Bill,0595,67,2025,"Land use: other; Michigan-Indiana boundary; provide for survey of parts and for grants to county remonumentation programs. Amends secs. 5, 7, 11 &amp; 13 of 2022 PA 81 (MCL 54.315 et seq.) &amp; repeals this act.  ",12/23/25,ASSIGNED PA 0067'25 WITH IMMEDIATE EFFECT,Jonathan Lindsey
Senate Bill,0596,33,2025,State finance: budgets; legislatively directed spending items; create a request and monitoring process for. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 364.   TIE BAR WITH: HB 4420'25,12/2/25,ASSIGNED PA 0033'25 WITH IMMEDIATE EFFECT,Sarah Anthony
Senate Bill,0685,68,2025,"Land use: farmland and open space; eligibility for tax credit; grandfather farmland subject to multiple legal arrangements before certain date. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 36109b.   TIE BAR WITH: SB 0688'25, SB 0690'25, SB 0686'25, SB 0689'25, SB 0687'25, SB 0699'25",12/23/25,ASSIGNED PA 0068'25 WITH IMMEDIATE EFFECT,Sue Shink
Senate Bill,0686,69,2025,"Land use: farmland and open space; land subject to conservation easement; allow partial relinquishment of. Amends sec. 36110 of 1994 PA 451 (MCL 324.36110).   TIE BAR WITH: SB 0685'25, SB 0687'25, SB 0688'25, SB 0689'25, SB 0690'25, SB 0699'25",12/23/25,ASSIGNED PA 0069'25 WITH IMMEDIATE EFFECT,Kevin Daley
Senate Bill,0687,70,2025,"Land use: farmland and open space; agricultural conservation easement; allow to be held by local unit. Amends sec. 36206 of 1994 PA 451 (MCL 324.36206).   TIE BAR WITH: SB 0688'25, SB 0690'25, SB 0686'25, SB 0689'25, SB 0685'25",12/23/25,ASSIGNED PA 0070'25 WITH IMMEDIATE EFFECT,Sam Singh
Senate Bill,0688,71,2025,"Land use: farmland and open space; individual essential to farm; update citation. Amends sec. 36103 of 1994 PA 451 (MCL 324.36103).   TIE BAR WITH: SB 0690'25, SB 0686'25, SB 0689'25, SB 0687'25, SB 0685'25",12/23/25,ASSIGNED PA 0071'25 WITH IMMEDIATE EFFECT,John Cherry
Senate Bill,0689,72,2025,"Land use: farmland and open space; relinquishment of farmland from development rights agreements; expand legal arrangements triggering. Amends sec. 36111 of 1994 PA 451 (MCL 324.36111).   TIE BAR WITH: SB 0688'25, SB 0690'25, SB 0686'25, SB 0687'25, SB 0685'25",12/23/25,ASSIGNED PA 0072'25 WITH IMMEDIATE EFFECT,Dan Lauwers
Senate Bill,0690,73,2025,"Land use: farmland and open space; legal arrangements eligible for tax credits; expand. Amends sec. 36109 of 1994 PA 451 (MCL 324.36109).   TIE BAR WITH: SB 0688'25, SB 0686'25, SB 0689'25, SB 0687'25, SB 0685'25",12/23/25,ASSIGNED PA 0073'25 WITH IMMEDIATE EFFECT,Roger Victory
Senate Bill,0699,74,2025,"Land use: farmland and open space; expenditures for administrative costs in the agricultural preservation fund; modify. Amends sec. 36202 of 1994 PA 451 (MCL 324.36202).   TIE BAR WITH: SB 0685'25, SB 0686'25, SB 0687'25, SB 0688'25, SB 0689'25, SB 0690'25",12/23/25,ASSIGNED PA 0074'25 WITH IMMEDIATE EFFECT,Sue Shink
